year	document_chembl_id
2012.0	CHEMBL2086249
2012.0	CHEMBL2086224
2012.0	CHEMBL2086221
2012.0	CHEMBL2086223
	CHEMBL2113921
2012.0	CHEMBL2146411
2012.0	CHEMBL2146409
2012.0	CHEMBL2146436
2010.0	CHEMBL2146410
2011.0	CHEMBL2146445
2012.0	CHEMBL2146432
2012.0	CHEMBL2146480
2012.0	CHEMBL2146374
2011.0	CHEMBL2146454
2012.0	CHEMBL2146430
2012.0	CHEMBL2151015
2010.0	CHEMBL2150960
2012.0	CHEMBL2150905
2012.0	CHEMBL2150928
2011.0	CHEMBL2151039
2012.0	CHEMBL2150882
2012.0	CHEMBL2150966
2011.0	CHEMBL2157972
2011.0	CHEMBL2157860
2012.0	CHEMBL2157906
2012.0	CHEMBL2157937
2012.0	CHEMBL2157870
2012.0	CHEMBL2157898
2012.0	CHEMBL2157961
2012.0	CHEMBL2157917
2012.0	CHEMBL2157884
2012.0	CHEMBL2163215
2012.0	CHEMBL2163280
2012.0	CHEMBL2163259
2012.0	CHEMBL2163253
2012.0	CHEMBL2163286
2012.0	CHEMBL2163233
2012.0	CHEMBL2163267
2012.0	CHEMBL2163339
2012.0	CHEMBL2163245
2012.0	CHEMBL2163232
2012.0	CHEMBL2163188
2012.0	CHEMBL2163325
2012.0	CHEMBL2163282
2012.0	CHEMBL2163201
2012.0	CHEMBL2169755
2012.0	CHEMBL2169877
2012.0	CHEMBL2169838
2012.0	CHEMBL2169836
2012.0	CHEMBL2169867
2012.0	CHEMBL2169749
2012.0	CHEMBL2169816
2012.0	CHEMBL2169886
2012.0	CHEMBL2169882
2012.0	CHEMBL2169805
2012.0	CHEMBL2176959
2012.0	CHEMBL2176900
2012.0	CHEMBL2176971
2012.0	CHEMBL2176988
2012.0	CHEMBL2177072
2012.0	CHEMBL2176887
2012.0	CHEMBL2176874
2012.0	CHEMBL2177036
2012.0	CHEMBL2176989
2012.0	CHEMBL2177046
2012.0	CHEMBL2176956
2012.0	CHEMBL2176961
2012.0	CHEMBL2177000
2012.0	CHEMBL2176880
2012.0	CHEMBL2176935
2012.0	CHEMBL2177080
2012.0	CHEMBL2177022
2012.0	CHEMBL2177048
2012.0	CHEMBL2176883
2012.0	CHEMBL2176918
2012.0	CHEMBL2177097
2012.0	CHEMBL2176916
2012.0	CHEMBL2176923
2012.0	CHEMBL2177020
2011.0	CHEMBL2177008
2012.0	CHEMBL2176973
2012.0	CHEMBL2203114
2012.0	CHEMBL2203263
2012.0	CHEMBL2203078
2006.0	CHEMBL2203010
2011.0	CHEMBL2203023
2011.0	CHEMBL2203251
2012.0	CHEMBL2203122
2012.0	CHEMBL2203257
2012.0	CHEMBL2203205
2012.0	CHEMBL2203264
2012.0	CHEMBL2203133
2012.0	CHEMBL2203262
2012.0	CHEMBL2203219
2012.0	CHEMBL2203039
2012.0	CHEMBL2203210
