assay_chembl_id	document_chembl_id
CHEMBL5579448	CHEMBL5576149
CHEMBL1114418	CHEMBL1156178
CHEMBL4030951	CHEMBL4028852
CHEMBL4023710	CHEMBL4020831
CHEMBL4135532	CHEMBL4130520
CHEMBL5637716	CHEMBL5634145
CHEMBL3047878	CHEMBL3045722
CHEMBL4827376	CHEMBL4825708
CHEMBL5324508	CHEMBL5321285
CHEMBL5364843	CHEMBL5360651
CHEMBL4604972	CHEMBL4602691
CHEMBL1953696	CHEMBL1949548
CHEMBL3370088	CHEMBL3352617
CHEMBL3430737	CHEMBL3430320
CHEMBL4704286	CHEMBL4699590
CHEMBL4316427	CHEMBL4312034
CHEMBL1217370	CHEMBL1212860
CHEMBL1022018	CHEMBL1138584
CHEMBL889312	CHEMBL1145378
CHEMBL3808010	CHEMBL3804796
CHEMBL933614	CHEMBL1147066
CHEMBL4033001	CHEMBL4028908
CHEMBL4123926	CHEMBL4118209
CHEMBL4715665	CHEMBL4706775
CHEMBL947933	CHEMBL1143185
CHEMBL1175156	CHEMBL1177783
CHEMBL3294033	CHEMBL3286091
CHEMBL3997716	CHEMBL3994677
CHEMBL861216	CHEMBL1146943
CHEMBL3430727	CHEMBL3430320
CHEMBL2187883	CHEMBL2177026
CHEMBL3592076	CHEMBL3588826
CHEMBL3430713	CHEMBL3430320
CHEMBL1020711	CHEMBL1137751
CHEMBL5258359	CHEMBL5257053
CHEMBL3430740	CHEMBL3430320
CHEMBL2444437	CHEMBL2439999
CHEMBL5520755	CHEMBL5518206
CHEMBL4196409	CHEMBL4196006
CHEMBL5034164	CHEMBL5033994
CHEMBL5111957	CHEMBL5108053
CHEMBL2173338	CHEMBL2169836
CHEMBL2427861	CHEMBL2424589
CHEMBL1011698	CHEMBL1152812
CHEMBL5730062	CHEMBL3886344
CHEMBL3810574	CHEMBL3808345
CHEMBL2050733	CHEMBL2046284
CHEMBL3407223	CHEMBL3400138
CHEMBL4701153	CHEMBL4699451
CHEMBL4322978	CHEMBL4321815
CHEMBL4615929	CHEMBL4613299
CHEMBL3579786	CHEMBL3576800
CHEMBL5732687	CHEMBL5726443
CHEMBL3591007	CHEMBL3588848
CHEMBL1817378	CHEMBL1811901
CHEMBL2013639	CHEMBL2010651
CHEMBL4200760	CHEMBL4196169
CHEMBL1273286	CHEMBL1268866
CHEMBL5733108	CHEMBL5726660
CHEMBL1838313	CHEMBL1833934
CHEMBL1036924	CHEMBL1154736
CHEMBL3430627	CHEMBL3430321
CHEMBL5365151	CHEMBL5360657
CHEMBL5536489	CHEMBL5532744
CHEMBL4769901	CHEMBL4765317
CHEMBL4394729	CHEMBL4393675
CHEMBL4251790	CHEMBL4251542
CHEMBL4840017	CHEMBL4837261
CHEMBL5045648	CHEMBL5042543
CHEMBL684971	CHEMBL1128716
CHEMBL1953525	CHEMBL1949557
CHEMBL4372271	CHEMBL4371037
CHEMBL1011674	CHEMBL1152811
CHEMBL4153776	CHEMBL4152224
CHEMBL2346009	CHEMBL2331552
CHEMBL3430550	CHEMBL3430320
CHEMBL3625655	CHEMBL3621135
CHEMBL5516750	CHEMBL5512679
CHEMBL1039315	CHEMBL1155247
CHEMBL1776071	CHEMBL1773004
CHEMBL3430657	CHEMBL3430321
CHEMBL3376773	CHEMBL3351946
CHEMBL3880650	CHEMBL3880390
CHEMBL5034586	CHEMBL5034005
CHEMBL3430393	CHEMBL3430320
CHEMBL4808721	CHEMBL4808172
CHEMBL1780724	CHEMBL1777794
CHEMBL2032544	CHEMBL2029240
CHEMBL4317027	CHEMBL4316591
CHEMBL5031704	CHEMBL5030537
CHEMBL1027247	CHEMBL1140127
CHEMBL889047	CHEMBL1145354
CHEMBL4700475	CHEMBL4699432
CHEMBL3436114	CHEMBL3436046
CHEMBL4055952	CHEMBL4052683
CHEMBL1003701	CHEMBL1138485
CHEMBL2217334	CHEMBL2216747
CHEMBL4768824	CHEMBL4765285
CHEMBL5346096	CHEMBL5344441
CHEMBL3430467	CHEMBL3430320
CHEMBL4322979	CHEMBL4321815
CHEMBL5588430	CHEMBL5584344
CHEMBL3813327	CHEMBL3808373
CHEMBL3430452	CHEMBL3430320
CHEMBL864202	CHEMBL1146045
CHEMBL2401504	CHEMBL2396637
CHEMBL4671732	CHEMBL4665837
CHEMBL5153895	CHEMBL5150064
CHEMBL932540	CHEMBL1144811
CHEMBL5357868	CHEMBL5356956
CHEMBL5516220	CHEMBL5512669
CHEMBL3595880	CHEMBL3593224
CHEMBL5043282	CHEMBL5042486
CHEMBL1104433	CHEMBL1156220
CHEMBL4434339	CHEMBL4433251
CHEMBL5375030	CHEMBL5370659
CHEMBL1063963	CHEMBL1152400
CHEMBL3616173	CHEMBL3611966
CHEMBL4626210	CHEMBL4622974
CHEMBL5374432	CHEMBL5370643
CHEMBL928680	CHEMBL1141530
CHEMBL5133256	CHEMBL5131410
CHEMBL1111712	CHEMBL1156307
CHEMBL4312798	CHEMBL4311945
CHEMBL1817371	CHEMBL1811901
CHEMBL2216324	CHEMBL2203263
CHEMBL2187785	CHEMBL2176883
CHEMBL4360329	CHEMBL4359816
CHEMBL3436061	CHEMBL3436046
CHEMBL5511245	CHEMBL5506050
CHEMBL4671572	CHEMBL4665835
CHEMBL3436077	CHEMBL3436046
CHEMBL5735887	CHEMBL5728032
CHEMBL3997335	CHEMBL3994654
CHEMBL5638883	CHEMBL5634193
CHEMBL4623856	CHEMBL4622872
CHEMBL5738076	CHEMBL5729100
CHEMBL4140894	CHEMBL4138139
CHEMBL4052442	CHEMBL4049458
CHEMBL3268200	CHEMBL3259729
CHEMBL2384387	CHEMBL2380260
CHEMBL3391260	CHEMBL3390839
CHEMBL3638112	CHEMBL3638030
CHEMBL5259991	CHEMBL5257116
CHEMBL927230	CHEMBL1141496
CHEMBL3813330	CHEMBL3808373
CHEMBL785241	CHEMBL1131614
CHEMBL2013363	CHEMBL2010700
CHEMBL3292599	CHEMBL3286274
CHEMBL1680285	CHEMBL1671827
CHEMBL3872165	CHEMBL3871307
CHEMBL933611	CHEMBL1147066
CHEMBL2184356	CHEMBL2176961
CHEMBL3430566	CHEMBL3430320
CHEMBL4701902	CHEMBL4699491
CHEMBL927770	CHEMBL1140803
CHEMBL1272892	CHEMBL1268885
CHEMBL5257224	CHEMBL5257017
CHEMBL4404697	CHEMBL4402573
CHEMBL5218154	CHEMBL5214999
CHEMBL2444927	CHEMBL2440008
CHEMBL1119164	CHEMBL1155506
CHEMBL3436111	CHEMBL3436046
CHEMBL5154206	CHEMBL5150071
CHEMBL5037161	CHEMBL5036324
CHEMBL3430519	CHEMBL3430320
CHEMBL4393839	CHEMBL4393654
CHEMBL3436223	CHEMBL3436046
CHEMBL927257	CHEMBL1141499
CHEMBL5525767	CHEMBL5523726
CHEMBL3370430	CHEMBL3351537
CHEMBL4026595	CHEMBL4024749
CHEMBL3396429	CHEMBL3392976
CHEMBL3430604	CHEMBL3430321
CHEMBL3876586	CHEMBL3875193
CHEMBL5516890	CHEMBL5512681
CHEMBL3430468	CHEMBL3430320
CHEMBL4137254	CHEMBL4130628
CHEMBL4120225	CHEMBL4118097
CHEMBL1839633	CHEMBL1833939
CHEMBL3436095	CHEMBL3436046
CHEMBL957054	CHEMBL1140950
CHEMBL4181645	CHEMBL4177672
CHEMBL5521504	CHEMBL5518220
CHEMBL2445808	CHEMBL2439992
CHEMBL3872763	CHEMBL3872208
CHEMBL4005471	CHEMBL4004819
CHEMBL2046027	CHEMBL2040789
CHEMBL4380720	CHEMBL4376873
CHEMBL3430593	CHEMBL3430321
CHEMBL3638133	CHEMBL3638030
CHEMBL4421243	CHEMBL4420080
CHEMBL3396464	CHEMBL3393040
CHEMBL5303855	CHEMBL4630909
CHEMBL5737981	CHEMBL5729055
CHEMBL2034490	CHEMBL2029210
CHEMBL4017815	CHEMBL4017458
CHEMBL3638163	CHEMBL3638030
CHEMBL4158814	CHEMBL4152386
CHEMBL4707427	CHEMBL4706479
CHEMBL3377716	CHEMBL3351244
CHEMBL4383328	CHEMBL4382202
CHEMBL3430374	CHEMBL3430320
CHEMBL3743573	CHEMBL3739407
CHEMBL5732671	CHEMBL5726435
CHEMBL3638062	CHEMBL3638030
CHEMBL2389760	CHEMBL2384910
CHEMBL3999908	CHEMBL3997842
CHEMBL4839360	CHEMBL4837245
CHEMBL5112590	CHEMBL5108068
CHEMBL700075	CHEMBL1133009
CHEMBL5376724	CHEMBL5375952
CHEMBL4734908	CHEMBL4732108
CHEMBL937366	CHEMBL1147066
CHEMBL3270545	CHEMBL3259754
CHEMBL3242072	CHEMBL3232919
CHEMBL3430397	CHEMBL3430320
CHEMBL3992698	CHEMBL3992487
CHEMBL3430712	CHEMBL3430320
CHEMBL4843281	CHEMBL4842341
CHEMBL4669424	CHEMBL4665730
CHEMBL4009065	CHEMBL4007422
CHEMBL5264214	CHEMBL5260838
CHEMBL4810281	CHEMBL4808210
CHEMBL3638105	CHEMBL3638030
CHEMBL5383358	CHEMBL5380818
CHEMBL2168561	CHEMBL2163282
CHEMBL4179672	CHEMBL4177600
CHEMBL4774139	CHEMBL4765432
CHEMBL2160726	CHEMBL2157884
CHEMBL3404544	CHEMBL3400001
CHEMBL3436053	CHEMBL3436046
CHEMBL4882349	CHEMBL4507279
CHEMBL3638093	CHEMBL3638030
CHEMBL5582340	CHEMBL5579877
CHEMBL4333772	CHEMBL4330138
CHEMBL4845170	CHEMBL4842386
CHEMBL3430426	CHEMBL3430320
CHEMBL3807888	CHEMBL3804778
CHEMBL1118860	CHEMBL1155448
CHEMBL889308	CHEMBL1145378
CHEMBL4824898	CHEMBL4823289
CHEMBL1174018	CHEMBL1177831
CHEMBL1059726	CHEMBL1152381
CHEMBL3591006	CHEMBL3588848
CHEMBL3801066	CHEMBL3797102
CHEMBL3047075	CHEMBL3046021
CHEMBL3638070	CHEMBL3638030
CHEMBL3224183	CHEMBL3217479
CHEMBL3430382	CHEMBL3430320
CHEMBL3582540	CHEMBL3580562
CHEMBL4268943	CHEMBL4265969
CHEMBL5119715	CHEMBL5113526
CHEMBL2390223	CHEMBL2385071
CHEMBL869184	CHEMBL1146021
CHEMBL5739517	CHEMBL5729803
CHEMBL2394849	CHEMBL2390865
CHEMBL4179767	CHEMBL4177603
CHEMBL1646507	CHEMBL1641559
CHEMBL4681585	CHEMBL4680094
CHEMBL660922	CHEMBL1134151
CHEMBL5579459	CHEMBL5576149
CHEMBL2187047	CHEMBL2176959
CHEMBL687508	CHEMBL1130298
CHEMBL3436218	CHEMBL3436046
CHEMBL2040072	CHEMBL2034946
CHEMBL4809366	CHEMBL4808184
CHEMBL5531276	CHEMBL5528071
CHEMBL1656031	CHEMBL1649108
CHEMBL4146384	CHEMBL4145461
CHEMBL3591515	CHEMBL3588758
CHEMBL4822453	CHEMBL4819115
CHEMBL5539772	CHEMBL5537163
CHEMBL2217332	CHEMBL2216747
CHEMBL2395206	CHEMBL2390828
CHEMBL4701231	CHEMBL4699452
CHEMBL3430392	CHEMBL3430320
CHEMBL4717446	CHEMBL4715723
CHEMBL5304339	CHEMBL5303763
CHEMBL4321989	CHEMBL4321785
CHEMBL5224245	CHEMBL5223095
CHEMBL2445976	CHEMBL2440083
CHEMBL4030948	CHEMBL4028852
CHEMBL3813472	CHEMBL3808373
CHEMBL2073369	CHEMBL2069241
CHEMBL4369981	CHEMBL4368904
CHEMBL3363798	CHEMBL3352316
CHEMBL4685406	CHEMBL4680205
CHEMBL3436122	CHEMBL3436046
CHEMBL4355823	CHEMBL4354805
CHEMBL4236263	CHEMBL4229542
CHEMBL933617	CHEMBL1147066
CHEMBL5234323	CHEMBL5233240
CHEMBL3367517	CHEMBL3351448
CHEMBL5141991	CHEMBL5137080
CHEMBL4378164	CHEMBL4376815
CHEMBL940933	CHEMBL1139807
CHEMBL1837923	CHEMBL1833932
CHEMBL4676196	CHEMBL4673248
CHEMBL5035880	CHEMBL5034035
CHEMBL5247187	CHEMBL5244277
CHEMBL4004507	CHEMBL4002640
CHEMBL5039956	CHEMBL5038592
CHEMBL5512253	CHEMBL5506071
CHEMBL3430638	CHEMBL3430321
CHEMBL2446215	CHEMBL2440090
CHEMBL4735920	CHEMBL4732134
CHEMBL3430748	CHEMBL3430320
CHEMBL4619106	CHEMBL4616706
CHEMBL4834375	CHEMBL4831562
CHEMBL4381398	CHEMBL4376885
CHEMBL5129884	CHEMBL5126604
CHEMBL4028157	CHEMBL4024791
CHEMBL1947795	CHEMBL1944599
CHEMBL3773485	CHEMBL3769388
CHEMBL834953	CHEMBL1138017
CHEMBL2208705	CHEMBL2203023
CHEMBL2445977	CHEMBL2440083
CHEMBL1954226	CHEMBL1949590
CHEMBL1217440	CHEMBL1212831
CHEMBL4261226	CHEMBL4257587
CHEMBL4121597	CHEMBL4118122
CHEMBL5374044	CHEMBL5370626
CHEMBL1114086	CHEMBL1154224
CHEMBL3811952	CHEMBL3808289
CHEMBL5323932	CHEMBL5321272
CHEMBL4229875	CHEMBL4229332
CHEMBL1275154	CHEMBL1268809
CHEMBL3822294	CHEMBL3817726
CHEMBL1787949	CHEMBL1781887
CHEMBL3865333	CHEMBL3864175
CHEMBL2060605	CHEMBL2057154
CHEMBL5041214	CHEMBL5038633
CHEMBL5388181	CHEMBL5385891
CHEMBL1117343	CHEMBL1157802
CHEMBL1225490	CHEMBL1221322
CHEMBL2382844	CHEMBL2380296
CHEMBL2013361	CHEMBL2010700
CHEMBL4381375	CHEMBL4376885
CHEMBL2071944	CHEMBL2069205
CHEMBL1066164	CHEMBL1157712
CHEMBL2051023	CHEMBL2046303
CHEMBL4020625	CHEMBL4017544
CHEMBL5546400	CHEMBL5543125
CHEMBL4615832	CHEMBL4613292
CHEMBL3430718	CHEMBL3430320
CHEMBL3131949	CHEMBL3124885
CHEMBL3807756	CHEMBL3804778
CHEMBL3368014	CHEMBL3351765
CHEMBL2320190	CHEMBL2311293
CHEMBL1008798	CHEMBL1141701
CHEMBL3638126	CHEMBL3638030
CHEMBL4766286	CHEMBL4765234
CHEMBL3592224	CHEMBL3588826
